raw_symbol,name,sector,index,market,ticker
FCH,Funding Circle,Financial Services,FTSE250,UK,FCH.L
GFRD,Galliford Try,Construction,FTSE250,UK,GFRD.L
GAMA,Gamma Communications,Telecommunications,FTSE250,UK,GAMA.L
GBG,GB Group,Software and Computer Services,FTSE250,UK,GBG.L
GCP,GCP Infrastructure Investments,General Financial,FTSE250,UK,GCP.L
GEN,Genuit Group,Construction & Materials,FTSE250,UK,GEN.L
GNS,Genus,Pharmaceuticals & Biotechnology,FTSE250,UK,GNS.L
DATA,GlobalData,Industrial Goods and Services,FTSE250,UK,DATA.L
GSCT,Global Smaller Companies Trust,Investment Trusts,FTSE250,UK,GSCT.L
GDWN,Goodwin,General Industrials,FTSE250,UK,GDWN.L
GFTU,Grafton Group,Support Services,FTSE250,UK,GFTU.L
GRI,Grainger,Real Estate Investment & Services,FTSE250,UK,GRI.L
GPE,Great Portland Estates,Real Estate Investment Trusts,FTSE250,UK,GPE.L
UKW,Greencoat UK Wind,"Gas, Water & Multiutilities",FTSE250,UK,UKW.L
GNC,Greencore,"Food, Beverage and Tobacco",FTSE250,UK,GNC.L
GRG,Greggs,Food & Drug Retailers,FTSE250,UK,GRG.L
