ticker,type,price,why
FLR,BUY STOP,59.1379,"breakout trigger, above the base pivot"
FLR,BUY LIMIT,57.93,"pullback entry, old resistance acting as support"
FLR,STOP LOSS,52.0413,"initial stop, below base support and the 30 week average"
FLR,BREAKEVEN,66.2344,move the stop to entry here
FLR,TARGET 1,91.2181,"measured move, sell part of the position (4.52R)"
FLR,TARGET 2,117.8485,second measured move (8.27R)
AVT,BUY STOP,101.7083,"breakout trigger, above the base pivot"
AVT,BUY LIMIT,100.0,"pullback entry, old resistance acting as support"
AVT,STOP LOSS,89.5033,"initial stop, below base support and the 30 week average"
AVT,BREAKEVEN,113.9133,move the stop to entry here
AVT,TARGET 1,150.1744,"measured move, sell part of the position (3.97R)"
AVT,TARGET 2,190.3139,second measured move (7.26R)
DBX,BUY STOP,36.8822,"breakout trigger, above the base pivot"
DBX,BUY LIMIT,36.3,"pullback entry, old resistance acting as support"
DBX,STOP LOSS,32.4563,"initial stop, below base support and the 30 week average"
DBX,BREAKEVEN,41.3081,move the stop to entry here
DBX,TARGET 1,50.905,"measured move, sell part of the position (3.17R)"
DBX,TARGET 2,62.589,second measured move (5.81R)
PK,BUY STOP,16.1804,"breakout trigger, above the base pivot"
PK,BUY LIMIT,15.965,"pullback entry, old resistance acting as support"
PK,STOP LOSS,14.2387,"initial stop, below base support and the 30 week average"
PK,BREAKEVEN,18.122,move the stop to entry here
PK,TARGET 1,22.1704,"measured move, sell part of the position (3.09R)"
PK,TARGET 2,27.1348,second measured move (5.64R)
FDS,BUY STOP,310.4094,"breakout trigger, above the base pivot"
FDS,BUY LIMIT,304.3,"pullback entry, old resistance acting as support"
FDS,STOP LOSS,273.1603,"initial stop, below base support and the 30 week average"
FDS,BREAKEVEN,347.6585,move the stop to entry here
FDS,TARGET 1,430.1027,"measured move, sell part of the position (3.21R)"
FDS,TARGET 2,530.7449,second measured move (5.92R)
VEEV,BUY STOP,258.9707,"breakout trigger, above the base pivot"
VEEV,BUY LIMIT,253.49,"pullback entry, old resistance acting as support"
VEEV,STOP LOSS,227.8942,"initial stop, below base support and the 30 week average"
VEEV,BREAKEVEN,290.0472,move the stop to entry here
VEEV,TARGET 1,358.93,"measured move, sell part of the position (3.22R)"
VEEV,TARGET 2,443.282,second measured move (5.93R)
DAR,BUY STOP,71.2161,"breakout trigger, above the base pivot"
DAR,BUY LIMIT,69.98,"pullback entry, old resistance acting as support"
DAR,STOP LOSS,62.6702,"initial stop, below base support and the 30 week average"
